id,new_pg_size_pretty,new_pg_relation_size
23e9b6b6-dc08-4323-8894-3ff7a72361d6,8982 MB,9418342400
7054c4e2-a835-4a30-a14e-39dc4c6c6515,8945 MB,9379643392
7dbba8f8-713b-4318-9164-7f9b94960f4f,8158 MB,8553824256
247ce354-3cd7-49ce-9309-9940b856b20b,7814 MB,8193064960
7b2cd8e9-e184-43cf-9a32-958bf84edf56,7740 MB,8115912704
7227dd09-870f-4ace-95ac-77897e2736db,7290 MB,7644332032
3a247a06-94eb-4c8c-b153-4803290bed17,7170 MB,7518560256
ae897ca7-8124-49c8-8758-77724d0a6c63,4970 MB,5211439104
6f687d34-1a45-4919-8b4a-12d230e57361,4935 MB,5174517760
3c009984-8a6b-457c-96be-49a1102a269b,4868 MB,5104484352
07119cd0-bfb6-4c74-8db5-13f154eaa15c,4846 MB,5081407488
451766d9-75af-4bfb-8fbd-d7aa84f7943b,4755 MB,4985593856
0bcc9794-e20a-44d6-823f-14b0090d3a1c,4653 MB,4878630912
dd621613-f381-4d6d-8e3c-f7ff97a4495e,4599 MB,4821966848
537a02b8-fa45-4101-b5de-ed7b8afdac84,4567 MB,4788404224
481d5f8e-9e73-474a-830d-10fbac508b32,4523 MB,4743053312
a1ba918d-e7b9-401c-be23-9a87952e28a7,4475 MB,4692041728
cc13a3cf-b4b8-48aa-9a05-5ff025028010,4446 MB,4661452800
68efeef5-f0ea-4b7a-94b1-66ed9ba7b05f,4427 MB,4641628160
8f520ab8-d9af-45cc-9236-36304f16b2d1,4403 MB,4616404992
686d18c6-93cb-4551-9280-d1da31b01c22,4046 MB,4242546688
db26e317-9e66-4881-80d3-67f3925e0e7c,3843 MB,4030087168
42328c89-b705-4215-9cb1-410402f309e8,3836 MB,4022091776
617d9262-4014-45a3-8d00-622a0c845176,3824 MB,4009615360
0978d87e-b279-420d-b7b6-2afba2ebf196,3750 MB,3932135424
d7b706ab-c170-45e8-bdff-d52323ac42d8,3728 MB,3908935680
a4d2ac1b-9425-4106-b04a-311c773baf34,3710 MB,3890012160
aa241925-32da-4533-85af-1ed889d8e4bb,3708 MB,3887996928
abbd207c-9a58-4d92-8ff7-cfab1d40b512,3614 MB,3789389824
57ed0bc6-3028-4e5b-acc7-fe2f71fbc714,3598 MB,3772620800
0a5092ac-13be-4fd8-86df-35572ecfe4a8,3515 MB,3685490688
0395c4cd-c0fc-4401-a0fd-75d06c998fa4,3494 MB,3664093184
4fd7fc6f-a7c7-452d-abe1-8d3ec27be790,3440 MB,3607560192
742f6dba-1b3f-4e51-a520-690ab0a3158c,2959 MB,3102949376
a25ea18b-7fb2-4fcb-8830-6c5bee274d57,2838 MB,2975662080
c352d545-6bdf-446c-9c3f-0ce6010f5d56,2698 MB,2828902400
450301ac-ac8f-4f01-b091-d6b3f504c773,2325 MB,2438078464
f2d9a7ea-7d9f-45c6-9606-883a08a1de0b,2325 MB,2437988352
1ad5394f-d158-46c1-9af7-90a9ef4e0ce1,2211 MB,2318843904
36fb4629-8003-4acc-a1ca-3302778a530d,2181 MB,2286723072
2514a4e4-5842-4dca-aff6-099bcd68482c,1930 MB,2024103936
23267115-177e-4824-89d9-185c7866270d,1923 MB,2016010240
2072321e-aa7c-486d-8b14-8ae79363cb68,1852 MB,1941487616
a96ca26f-5ea4-435d-a83f-10ddf5f9bf21,1848 MB,1937539072
96e64798-8ff5-4399-ad30-a815cc1d6417,1664 MB,1744830464
e66136df-11a6-4c5e-a3de-08655f5453fa,1581 MB,1657946112
f38152e1-8d3a-4eb1-b2d8-bf89a2b64532,1571 MB,1647263744
c4e9e110-bb92-4fd3-a53c-1b84f4cfaf35,1542 MB,1617387520
8cd32648-757c-4637-9076-85e144997ca8,1356 MB,1422090240
0edb3ce5-6fca-4719-a513-7b645e37fe54,1191 MB,1248878592
eb336017-3592-443f-82fd-784a5fffc970,1168 MB,1224278016
518b583f-7cc8-4f60-94d0-174cc98310dc,1003 MB,1051852800
685f3b12-7d6c-4ff0-a770-1b2f2fe210cf,998 MB,1046863872
f2b8d575-e256-4718-94ad-1e12239ddb92,981 MB,1028964352
66cdcd57-6c92-4aaa-8800-0ed9d8f03e22,979 MB,1027047424
3f3a8715-1112-4bcc-a467-29f7464a5183,978 MB,1025531904
2439ad00-221c-4005-833b-971816f51d03,878 MB,921157632
75161b34-3ee3-4ab6-b177-99591cae2910,866 MB,908255232
72b4cb96-6d25-4335-87c2-976cec395670,866 MB,908173312
65d0d259-3e58-49d3-bebb-80dc75f61245,830 MB,870588416
76fda9d0-69be-4dd5-8108-0de7907fc5a4,769 MB,805847040
79e66b02-d0d0-48a1-b409-9e175a9801f3,744 MB,780378112
d683beca-67ce-45ce-bdcc-58c9f7fcd720,696 MB,729858048
aabd9b49-815b-4b53-a639-b208ca33480d,696 MB,729784320
5d222158-5544-4e55-8a0c-ff3b8ff05cea,682 MB,714768384
4b68a6dd-b7ea-4385-b88e-e7d77ff0b294,679 MB,712032256
8eff881d-4d28-4064-83f1-30cc991cfec7,675 MB,707633152
eb9550c0-9776-4ad3-ad30-68b521c2bb47,672 MB,704905216
63c546e1-cf29-42b3-bb3a-eeba50b4dac3,660 MB,692051968
79601d21-823c-4f18-b622-0a326422e888,657 MB,689225728
d81d6923-8baa-4058-9819-809849312151,646 MB,676896768
7cfa340a-f597-4cd8-8d5d-4575ad34c56b,644 MB,675364864
7066cb46-4785-4858-b04d-83970d3569b5,644 MB,675364864
5f6042c3-6ade-4dc6-9dc1-5aa4ad9f79fd,601 MB,630136832
8bba4748-df89-4e80-b56a-4b82e29d411f,580 MB,607657984
235867e7-05e7-4a5f-a804-811bc4da2ba7,536 MB,561627136
adf1fd38-c374-4c4e-9094-5e53bd12419f,507 MB,531628032
c6dc8b5c-b351-4978-b14d-9f770bdebeb6,502 MB,526417920
858bbc0f-b949-4e22-b4bb-1a78fef24afc,499 MB,523190272
50c34ea4-428d-4d1b-8ee4-513dc176e68c,481 MB,504520704
97ee36cc-53d1-44f2-bb65-192f103d5aaf,464 MB,487047168
0c540969-642e-4990-9ee9-2afe958630fe,439 MB,460718080
