id,url,format,description,position,revision_id,hash,state,extras,name,resource_type,mimetype,mimetype_inner,size,last_modified,cache_url,cache_last_updated,webstore_url,webstore_last_updated,created,url_type,package_id,private,pg_size_pretty,pg_relation_size,new_pg_size_pretty,new_pg_relation_size,old_tuple_count,new_tuple_count,group,size_diff,size_new/old,tuples_diff,tuples_new/old,name_package,title,version,url_package,license_id,revision_id_package,author,author_email,maintainer,maintainer_email,state_package,type,owner_org,private_package,metadata_modified,creator_user_id,metadata_created
fd4d0f47-5a05-4716-861e-b0b328effe8b,https://data.wprdc.org/dataset/e41c0a67-837f-460c-94a9-6650b74f10da/resource/fd4d0f47-5a05-4716-861e-b0b328effe8b/download/alcogisallegheny-county-school-district-boundaries.geojson,GeoJSON,,2,1e037a30-3976-4f1e-b86c-3209201d3a58,,active,"{""datastore_active"": false}",GeoJSON,,application/json,,1747165.0,2023-04-08 13:27:48.782691,,,,,2020-09-29 17:01:03.843399,upload,e41c0a67-837f-460c-94a9-6650b74f10da,f,,,,,,,f,,,,,allegheny-county-school-district-boundaries,Allegheny County School District Boundaries,,http://openac-alcogis.opendata.arcgis.com/datasets/f5ac385118344bbf8f707cd88ba31a45_0,,806c0d75-a29e-43c3-8fb8-0e99bff338b7,,,,,active,dataset,f6dcf8fb-2051-4226-8c74-de9fbc699684,f,2023-04-08 17:27:58.59801,90e6b24a-729c-43ea-9a24-2e060d24d07d,2017-05-23 14:32:40.593774
4ae88ba4-f535-44d7-9a96-08c6f38a34fc,https://data.wprdc.org/dataset/cfaffd5c-ab5a-42fd-83ae-2411e376ae0c/resource/4ae88ba4-f535-44d7-9a96-08c6f38a34fc/download/opendata-pubworks-block-party-summary-2013-2014-block-party-dataset.csv,CSV,,0,7164a66f-53d5-43bc-aa08-0e2bbcda83b6,,active,"{""datastore_active"": true}",Public Works - Block Party Summary,,text/csv,,,,,,,,2015-04-14 14:20:29.311106,upload,cfaffd5c-ab5a-42fd-83ae-2411e376ae0c,f,136 kB,139264.0,96 kB,98304.0,412.0,412.0,4,-40960.0,0.7058823529411765,0.0,1.0,public-works-block-party-summary,Public Works - Block Party Summary,,http://www.pittsburghpa.gov/dpw/ ,other-pd,d822c408-bb0e-4018-8c95-a2a6d9b80974,Lee Haller,lee.haller@pittsburghpa.gov,Koury Lape,kourylape@gmail.com,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2021-02-04 17:47:03.968772,0b3083b1-b5ef-4dbb-b23c-58e623476698,2015-04-14 18:16:01.072372
c926cfe2-e085-4808-94bc-b33895089a74,https://data.wprdc.org/dataset/8f92ae09-4cfa-4e0d-9c46-779a66d93d1e/resource/c926cfe2-e085-4808-94bc-b33895089a74/download/pittsburghpacity-designated-historic-districts.geojson,GeoJSON,,2,a36de255-fd63-4469-97f1-70340dbb9aaa,,active,"{""datastore_active"": false}",GeoJSON,,application/json,,83656.0,2023-03-29 08:01:54.426869,,,,,2021-03-09 21:02:18.793429,upload,8f92ae09-4cfa-4e0d-9c46-779a66d93d1e,f,,,,,,,c,,,,,city-designated-historic-districts,City Designated Historic Districts,,https://pghgishub-pittsburghpa.opendata.arcgis.com/datasets/d6373af0b9e349b38a40ea6c99224730_0,notspecified,66337875-5ffe-48ab-b5e0-a9253194314e,,,,,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2023-03-29 12:02:07.901705,90e6b24a-729c-43ea-9a24-2e060d24d07d,2021-03-09 21:02:18.724974
b378b3ba-71e9-418b-9697-ecdff6f62724,http://www.makemytripcount.org/,HTML,Make My Trip Count Website,2,803276bf-0a92-4028-89e6-c7c2aa6a3c54,,active,"{""datastore_active"": false}",Make My Trip Count Website,,text/html,,,,,,,,2017-01-06 14:49:07.419545,,2d9c9064-e2f7-489d-9b77-d2c603629a81,f,,,,,,,b,,,,,make-my-trip-count-2015,Make My Trip Count 2015,,,odc-by,3d541a2d-4ed9-4d23-b2e3-9f0707b66e98,,,,,active,dataset,e35882ba-af3c-4e57-8204-6dea559678a0,f,2021-02-04 01:55:54.679227,9e43a726-2b62-4205-8f4c-aca5d8521b78,2017-01-06 19:47:17.247589
8bda6be7-e90e-46d0-8577-693a27d8812b,https://data.wprdc.org/dataset/6bb2a968-761d-48cf-ac5b-c1fc80b4fe6a/resource/8bda6be7-e90e-46d0-8577-693a27d8812b/download/pghparcelboundaries.zip,ZIP,,1,3bc21588-61f8-4f71-a2d2-26372c44eeca,,active,"{""datastore_active"": false}",City of Pittsburgh Parcel Boundaries,,application/zip,,,2017-04-05 19:29:15.719359,,,,,2017-04-05 15:29:15.752011,upload,6bb2a968-761d-48cf-ac5b-c1fc80b4fe6a,f,,,,,,,8,,,,,geocoders,Geocoders,,,cc-by,22d52d9e-7ee9-49e1-ba98-dce4cdb3dda0,,,,,active,dataset,4eb88a01-738a-4ca1-96e4-b0bf8d3ec3dc,f,2021-02-04 01:55:34.808311,f40ecfea-0195-4903-8b7d-cc99f25d7d8c,2016-10-07 17:49:36.820423
02335839-14cc-40e2-ba83-5a3f7e245658,http://gis.pittsburghpa.gov/steps/,HTML,,0,8ae0272d-6441-439f-b195-80c9b7fc3949,,active,"{""datastore_active"": false}",Pittsburgh Steps,,text/html,,,,,,,,2015-02-27 13:16:55.384602,,e0b3530a-b5d3-45a2-98a2-10691be491c8,f,,,,,,,0,,,,,pittsburgh-steps,Pittsburgh Steps Map,,http://pittsburghpa.gov/dcp/gis-webmaps,other-pd,86ffccb3-2b4f-47dc-a989-61c08e9d7e54,Mike Homa,mike.homa@pittsburghpa.gov,Koury Lape,kourylape@gmail.com,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2022-10-20 14:56:12.214157,0b3083b1-b5ef-4dbb-b23c-58e623476698,2015-02-27 18:16:37.125223
103079a0-d5e1-4fb5-be7a-4edabb59aef3,https://data.wprdc.org/dataset/e80cb6b3-b31b-4ca8-a8ae-aee164608100/resource/103079a0-d5e1-4fb5-be7a-4edabb59aef3/download/alcogisallegheny-county-boundary.zip,ZIP,,5,75fcccd1-1a1c-4a36-afd1-a4edfcc6f18c,,active,"{""datastore_active"": false}",Shapefile,,application/zip,,17348.0,2023-04-08 13:32:27.481436,,,,,2020-09-29 17:01:09.745642,upload,e80cb6b3-b31b-4ca8-a8ae-aee164608100,f,,,,,,,1,,,,,allegheny-county-boundary,Allegheny County Boundary,,http://openac-alcogis.opendata.arcgis.com/datasets/12d17d63e67d4b22b833b5733abf2f7e_0,notspecified,cba14201-5140-4dfc-8841-54327e6c10ab,,,,,active,dataset,f6dcf8fb-2051-4226-8c74-de9fbc699684,f,2023-04-08 17:32:27.609183,90e6b24a-729c-43ea-9a24-2e060d24d07d,2017-05-23 14:33:31.4171
caee9bf5-600d-47f3-9d96-63a2700622d0,"https://www.arcgis.com/home/webmap/viewer.html?webmap=3e8c4bfac2a14932b95902a479839f18&extent=-80.0287,40.4262,-79.9596,40.4761",HTML,,0,28f578c4-5cb0-4568-b597-7a0e60334720,,active,"{""datastore_active"": false}",MovePgh Project Map,,text/html,,,,,,,,2015-02-27 13:33:52.535225,,9bd7cbbf-a2ee-472b-8d76-a52382327c11,f,,,,,,,c,,,,,movepgh-project-map,MovePGH Project Map,,http://pittsburghpa.gov/dcp/gis-webmaps,cc-zero,2f15bed8-363d-4f5f-8486-60feb1d7d36f,Mike Homa,mike.homa@pittsburghpa.gov,Koury Lape,kourylape@gmail.com,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2022-10-20 14:57:10.336034,0b3083b1-b5ef-4dbb-b23c-58e623476698,2015-02-27 18:33:27.015133
a7d68f51-875f-4872-b658-89caa6104296,http://www.openbookpittsburgh.com/SearchLobbyists.aspx,HTML,,0,b0f847d0-19f3-45c2-ab44-fdc4c8341c64,,active,"{""datastore_active"": false}",Lobbyist Activity,,text/html,,,,,,,,2015-04-28 16:01:58.78092,,a4e3055f-867a-47fd-a955-7d1fa3d7b836,f,,,,,,,a,,,,,lobbyist-activity,Lobbyist Activity,,http://www.openbookpittsburgh.com/SearchLobbyists.aspx,notspecified,c4f1bfc2-d72f-4a85-8cc8-ff7696b26ac3,Pittsburgh City Controller,,,,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2021-02-03 23:21:52.494366,0b3083b1-b5ef-4dbb-b23c-58e623476698,2015-04-28 20:00:47.346366
906f524a-5fdb-4948-b68e-b9322dbe46e5,http://www.openbookpittsburgh.com/SearchContributions.aspx,HTML,,0,5208546d-9694-4de0-9ccf-9d3f1bd9b330,,active,"{""datastore_active"": false}",Campaign Finance Contributions,,text/html,,,,,,,,2015-04-28 16:02:00.546833,,d08d87ec-ea98-4dcd-848b-7a35db07622e,f,,,,,,,9,,,,,campaign-finance-contributions,Campaign Finance Contributions,,http://www.openbookpittsburgh.com/SearchContributions.aspx,notspecified,db9f78bc-3b0d-4099-a68b-ccdb59b96def,Pittsburgh City Controller,,,,active,dataset,9ecaff80-fb4a-457b-8141-e53f7c991890,f,2021-02-03 23:21:58.987052,1e0cf6f1-ecaf-43d0-89c2-16f0dd4e66a3,2015-04-28 20:01:00.156545
